Query,Latency (s),CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s),Fast Tree Size (MB),Original Column Size (MB),Fast Tree Creation Time (s)
1,0.8166673356663523,401.99510440808746,18482.68359375,18289.857259114582,871.8341946394906,5188.266662597656,549.4276428222656,103.97993397299979
3,0.5104139253350392,278.2381404935094,16662.4375,16421.020182291668,2164.0170734070234,5188.266662597656,549.4276428222656,105.6018925949993
4,0.20312303066566528,538.1368841797722,9370.7109375,9214.127170138889,9718.024789760895,5188.266662597656,137.3291015625,24.8796191069996
5,0.6305451306683002,672.9429598505316,9844.13671875,9632.94652157738,4611.983475051735,5188.266662597656,137.3291015625,24.681181814999945
6,0.06624767566730347,124.73034636363367,13433.28125,13384.51953125,2014.531181537626,5188.266662597656,549.4276428222656,104.29532702200049
7,1.2167164486666782,724.9415882675063,15968.33203125,15620.910639599117,940.9837338970348,5188.266662597656,549.4276428222656,102.67589065799984
8,0.4316554516663018,535.2078545356684,10243.46484375,10028.903645833334,7672.4142914512895,5188.266662597656,137.3291015625,24.474709161000646
10,0.590120274666333,615.5445291888439,9797.5625,9634.497302827382,3961.1343010952187,5188.266662597656,137.3291015625,24.761262498999713
12,0.15501326300000073,398.24423568485184,13957.74609375,13892.927083333334,3151.5285525950185,5188.266662597656,549.4276428222656,101.85558352000044
14,0.042745328665356894,163.94181738200749,12627.44921875,12584.126302083334,3095.1715941362922,5188.266662597656,549.4276428222656,102.48816313199859
19,0.4377215819992368,578.7206979066997,8975.8984375,8756.96796875,7631.78455558307,5188.266662597656,1.5260009765625,2.8354411870004697
20,0.17434060233244963,369.2021986958984,13892.578125,13792.383463541666,3278.721288625834,5188.266662597656,549.4276428222656,103.14479769900026
