Query,Latency (s),CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s),Fast Tree Size (MB),Original Column Size (MB),Fast Tree Creation Time (s)
1,0.19132688902512504,235.23837159390683,12193.92578125,12193.30078125,69.73769752921469,5188.266662597656,274.7138214111328,45.052903303992935
3,0.5775436199813461,124.57101235840801,11266.91015625,11263.567057291666,30.05278109228664,5188.266662597656,274.7138214111328,44.64932810998289
4,0.027212106011575088,417.50116537455995,7440.0859375,7437.919270833333,503.8249689035604,5188.266662597656,68.66455078125,14.705329388991231
5,0.02876276966223183,453.10325605688297,7599.4453125,7597.653645833333,430.2363553708641,5188.266662597656,68.66455078125,13.951507372985361
6,0.030614443656910833,175.53511656498333,9757.7421875,9757.283854166666,425.61601627971754,5188.266662597656,274.7138214111328,44.64161509499536
7,0.06593378800122689,227.86959524765228,10446.08984375,10442.506510416666,202.69789859753936,5188.266662597656,274.7138214111328,43.98677066300297
8,0.03203808898494269,322.7491069034101,7732.94921875,7730.657552083333,374.8845714926794,5188.266662597656,68.66455078125,14.165139071003068
10,0.15379194600003152,257.92132790052335,7547.6015625,7530.47265625,86.70254924026781,5188.266662597656,68.66455078125,14.254064898006618
12,0.03897677666585272,290.6971532013488,10070.265625,10068.182291666666,342.08221506408876,5188.266662597656,274.7138214111328,43.78034529698198
14,0.017852699335586898,112.92172030343849,9308.23828125,9306.071614583334,755.879856907576,5188.266662597656,274.7138214111328,44.46277873197687
19,0.03186763397146326,753.2409950198823,6944.37890625,6941.670572916667,376.5904196043622,5188.266662597656,0.7630615234375,5.478517854993697
20,0.040796016003393255,216.07734511664853,10047.62890625,10043.17578125,329.47241039586953,5188.266662597656,274.7138214111328,44.69772906199796
