Query,Latency (s),CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s)
1,0.20706756566687545,552.8197449782052,503.2161458333333,437.1200086805556,6846.656249320251
2,1.1464561043327801,734.1557355046522,907.84765625,842.123743444056,3414.3359280269246
3,0.5832522399996378,378.67549252652015,980.9947916666666,952.00390625,7494.841047724323
4,15.706890070999483,775.0899004855842,1446.1875,1360.704614582882,1890.974326077692
5,1.2527128166669474,597.8136284054882,1796.5625,1657.5844677241164,8895.048966883662
6,2.7995394233336506,775.8209984459194,1820.05078125,1787.488767361111,1373.1334769519062
7,1.6249437796668644,609.8537030583983,1852.3372395833333,1819.693088107639,7384.579627132766
8,0.730211142332943,565.2455605312252,1831.5377604166667,1797.5582682291667,4836.159883632394
9,3.0709849603335897,759.257114023379,4042.4166666666665,3630.479898140054,10350.554147065175
10,0.578060545666934,391.94345850542385,4961.145833333333,4885.68539186508,6724.896118828831
11,10.095189199333618,773.5239739433472,5951.455729166667,5801.6215604894305,1365.632473055973
12,0.25078487566618907,590.7723441269303,5859.244791666667,5830.649305555556,4929.49050866056
13,0.9271885263327325,552.9485774409022,5901.059895833333,5818.561848958333,12972.369262563961
14,29.218006596000123,763.2279747329792,10224.14453125,8034.7248459126295,2587.0348051173287
15,1.3175630313338236,775.2147587258349,9204.911458333334,9097.41000934829,1437.7109080740531
16,0.5923089873328232,376.01950986331593,9005.694010416666,8966.110666232638,10503.534936357539
17,1.808584857333699,682.7629648893081,9291.069010416666,9221.042972154139,6080.32611194683
18,0.9465880773338237,579.7264258721558,9208.23046875,9160.936328124999,7295.091022195025
19,0.448228752000432,543.7802229329535,9095.65234375,9053.233854166667,13249.949125720283
20,0.43752941933356243,643.9084654038778,9107.15625,9088.6421875,5225.661492200612
21,5.355371568666669,726.8133357033868,9066.944010416666,8978.801069415984,3956.5384772609864
22,7.359828830333451,684.6997623883695,9155.111979166666,9138.414768266908,2269.0688257232573
23,30.070569531999354,789.5759997074243,11804.65625,10649.373763678452,1751.3469421973543
24,5.232536184001219,673.0961576087559,10978.0390625,10896.368389423076,5604.739072740479
25,2.197620420999859,697.5398695753993,11902.259114583334,11693.924402069628,5378.838153488592
26,0.6508828383339278,591.5132300359911,11574.911458333334,11512.0625,9318.12786289013
27,1.3610060476657964,629.619542223597,11524.861979166666,11490.379463391428,8511.051238335436
28,3.0989767490003337,760.9755921797477,11854.399739583334,11770.399760234655,10148.312874252364
29,1.6003863896664068,692.0904384883074,12178.733072916666,12121.942065246121,6976.311975260141
30,0.19697354466734396,428.8927143792552,11798.774739583334,11738.862630208334,4606.8757810564375
31,1.645115820333255,506.2376217769062,11661.580729166666,11615.211127387154,8206.665122033863
32,0.3191147926663689,367.983741529245,11435.798177083334,11407.607096354166,11702.532290654128
33,0.6241800703325376,574.579006681509,11404.994791666666,11366.719866071428,13925.621004242726
34,0.47571649266622745,572.6351099373545,11142.76953125,11106.305729166668,10517.487043858308
