Query,Latency (s),CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s)
1,0.00835944366796563,397.1369584613623,1540.25,1540.25,722.4699646294329
2,0.02366275467405406,817.0624552300742,1501.1263020833333,1501.1263020833333,253.7267148287909
3,0.007640694335956748,481.7451704417338,1502.21875,1502.21875,1032.7710295725428
4,0.14525023198802955,544.2921474175806,1686.4921875,1597.107421875,48.28709125744459
5,0.018338895325238507,854.1082765280388,1512.2799479166667,1512.2799479166667,327.24459713411636
6,0.02201729432757323,287.8156265906538,1512.4453125,1512.4453125,272.52745743888903
7,0.03747081567416899,471.42610303916257,1512.23828125,1512.23828125,160.143497678524
8,0.1119252259862454,169.74544896160822,1517.7604166666667,1515.0345052083333,62.54216671412484
9,0.01735540566733107,1306.1924810153007,1511.3216145833333,1511.3216145833333,345.7266775623172
10,0.02552365500984403,641.0073797498841,1512.2057291666667,1512.2057291666667,235.63167517823774
11,0.12955701534519903,421.26709820494585,1630.6471354166667,1572.8977864583333,54.25166503164178
12,0.0128963116731029,363.43612541947005,1516.0859375,1516.0859375,465.8921305904371
13,0.02162353866151534,878.6905693256566,1515.3333333333333,1515.3333333333333,277.4812324186266
14,0.19435800366530506,1054.9622885216365,1763.34375,1650.2936197916667,37.7130671380754
15,0.019640645342102896,186.3652719579168,1533.2005208333333,1533.2005208333333,306.1235272369382
16,0.015571951332579678,364.4105862665112,1530.8072916666667,1530.8072916666667,386.16753895125447
17,0.01876898466919859,443.6838410449788,1530.46484375,1530.46484375,319.92053530795107
18,0.043970033671939746,333.579236384014,1531.1015625,1531.1015625,136.60946505766233
19,0.014355399665267518,441.2089290410086,1531.8098958333333,1531.8098958333333,417.97488755385825
20,0.013634949340485036,388.6700869160838,1531.3619791666667,1531.3619791666667,440.4848248882852
21,0.008774608334836861,382.728783670292,1531.47265625,1531.47265625,685.3122446450001
22,0.11178299833166723,1019.8258268303243,1655.2486979166667,1594.5631510416667,62.628589999295144
23,0.16342283367218138,1417.9984504163542,1830.9205729166667,1684.2610677083333,42.850345971819934
24,0.030256284332911793,363.56952714830214,1537.1966145833333,1537.1966145833333,198.31065117180006
25,0.014872467659491425,223.8923561867483,1536.0651041666667,1536.0651041666667,425.78308625536215
26,0.02909678831929341,378.37417022698247,1536.6627604166667,1536.6627604166667,218.1044045507082
27,0.04133446100361956,500.04521808583877,1537.9361979166667,1537.9361979166667,145.1647967007908
28,0.02508464800970008,1342.1160370299394,1537.5013020833333,1537.5013020833333,239.1913778681383
29,0.014281129988376051,560.5463602979006,1536.7057291666667,1536.7057291666667,420.40977022342236
30,0.023435566331803177,284.1532568364239,1537.2018229166667,1537.2018229166667,270.8479003920313
31,0.023736024003786344,691.0842482792144,1537.5950520833333,1537.5950520833333,254.42998074398074
32,0.00835084932623431,318.6917161302028,1537.39453125,1537.39453125,719.3492379364783
33,0.011813874337046096,535.3948679334048,1537.4322916666667,1537.4322916666667,508.52850248337444
34,0.01495464833957764,534.1329541421048,1537.7213541666667,1537.7213541666667,401.3645967238288
35,0.0382971223249721,765.8997257005853,1540.1419270833333,1540.1419270833333,156.6850817677008
36,0.08635717933066189,212.26535318363537,1540.390625,1540.390625,69.484855180928
37,0.004887326669025545,272.9386146667653,1538.4739583333333,1538.4739583333333,1229.0439919597777
38,0.03248530400257247,678.0894725090712,1541.6067708333333,1541.6067708333333,184.78531469626753
39,0.08834527732688002,373.52198588180175,1541.3880208333333,1541.3880208333333,67.94124142826531
40,0.013707410330728939,243.1338775376698,1539.8528645833333,1539.8528645833333,437.7591320442778
41,0.008061433666928982,287.92337838323346,1538.6861979166667,1538.6861979166667,745.0259638256795
42,0.006693141661041106,646.4240870946218,1539.34375,1539.34375,896.7107128113727
43,0.003398212002745519,294.28779630483496,1539.4622395833333,1539.4622395833333,1765.7267778293608
44,0.0034151730069424957,102.14273992367997,1538.8411458333333,1538.8411458333333,1758.9888139029354
45,0.014551128668244928,182.98383700553362,1539.4518229166667,1539.4518229166667,412.42072675390455
46,0.03440687200054526,368.10894032909323,1539.8932291666667,1539.8932291666667,174.3893823537271
47,0.053672563003298514,975.4543097815241,1544.6653645833333,1544.6653645833333,111.92226539186106
48,0.02181700099996912,824.6946507578524,1541.8515625,1541.8515625,275.1288855907674
49,0.016087190665227052,710.4168106922324,1541.77734375,1541.77734375,377.7500541695006
50,0.015830038668354973,589.570260563005,1540.6614583333333,1540.6614583333333,379.42745697496497
51,0.0950807453385399,1101.1513953636327,1543.5494791666667,1543.5494791666667,63.11776934794684
52,0.007200137673256298,700.6473765230708,1543.9544270833333,1543.9544270833333,835.0347196221552
53,0.014969761677396795,645.8235282601552,1541.9908854166667,1541.9908854166667,401.3377161194448
54,0.012784664994493747,313.35790359950937,1541.8072916666667,1541.8072916666667,470.03685539924567
55,0.007135516672860831,698.9344286735342,1541.5911458333333,1541.5911458333333,843.2749485396549
56,0.01307578333459484,612.7587515759182,1542.09375,1542.09375,459.5690636819483
57,0.05337258332292549,606.185153773887,1543.3190104166667,1543.3190104166667,112.43747349087103
58,0.01303972234018147,639.907357315446,1543.7630208333333,1543.7630208333333,462.42905978821364
59,0.03828029666328803,844.6152071354007,1543.2447916666667,1543.2447916666667,156.74265367626325
60,0.01519004400082243,636.0323421993359,1544.3111979166667,1544.3111979166667,395.4012627655827
61,0.009734918993975347,790.0786892216956,1543.5130208333333,1543.5130208333333,617.0879967845619
62,0.012668067667012414,369.8322454274787,1542.890625,1542.890625,474.2187197466692
63,0.011153693330318978,510.65826136402364,1543.203125,1543.203125,572.9215204021999
64,0.04685653200916325,605.2042861395572,1543.984375,1543.984375,128.11602442015547
65,0.036940872659518696,739.9267645943811,1544.6549479166667,1544.6549479166667,162.43714485900844
66,0.021839290672990803,503.809553971246,1544.1041666666667,1544.1041666666667,290.14629864087095
67,0.1733341263316106,1282.6169033134315,1906.7278645833333,1728.515625,40.38876455408882
