Query,Latency (s),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s)
1,4.4173954863332865,301.39453125,293.8052083333334,3509.2724889984825
2,1.041000553000534,390.0546875,327.94034090909093,3227.2220534764533
3,2.2465592983329166,438.9752604166667,406.30964962121215,6639.348566261873
4,1.300788111999888,384.4505208333333,348.1673677884615,8471.690033943794
5,2.8393280253324824,519.35546875,479.0521282327586,5413.28821949274
6,1.5569518170001782,334.8997395833333,299.68264399509803,7176.448772758435
7,5.550096016000073,2256.9518229166665,1330.061296106458,3059.681492852162
8,3.4115333650000443,1023.45703125,693.3852634803922,5765.364100502574
9,5.031028968000101,1814.8958333333333,1710.0568341503267,4460.655485276532
10,3.1539238526656845,1137.9453125,809.3978954028058,4325.316283908106
11,0.8201313133334528,445.0494791666667,388.3713831018519,3982.100318389126
12,2.393414470332573,366.0494791666667,348.8411566840278,6514.440059716329
13,2.1400127269995814,523.12890625,488.2888386240118,1439.5709432418116
14,1.3407345460000215,526.4075520833334,509.94754464285717,9225.883202170458
15,3.0453349839996613,445.5299479166667,417.8436549188641,8004.329425499851
16,0.7405172569997376,523.046875,401.4800011367394,1786.7800470234276
17,5.970684216000033,456.1705729166667,420.15445819625387,3040.149922696253
18,13.952750585333584,9510.470052083334,5849.331662751046,1038.846438224791
19,3.845243366666182,984.7916666666666,501.4783826519476,4457.107888531121
20,3.358284253667686,697.15234375,552.4202784816066,4298.407597542137
21,8.26751217499926,775.8619791666666,675.0802768640351,4011.1270062594776
22,0.7362477599999693,457.4361979166667,404.2576497395833,2162.9321241223465
