Query,Latency (s),CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s)
1,0.6484588820000002,707.9701642393838,236.42317708333334,226.59244791666666,5198.236445470241
2,0.2532041186666672,517.5163051318949,293.4348958333333,263.7096354166667,3306.7719149840536
3,0.3359775633333329,595.24693409144,300.5234375,286.3362630208333,9635.827856449854
4,0.29340849233333327,606.0122897033476,653.6067708333334,516.0753038194445,8170.42501337588
5,0.5440115936666672,699.1198998512203,433.37890625,344.2528211805555,5959.481447429166
6,0.16271011333333382,485.68870739973255,283.2747395833333,265.7604166666667,14280.70972289904
7,1.425652735,769.9454432828347,583.3893229166666,536.4127356150793,2549.980830985825
8,0.5229457283333355,599.873069556281,411.0078125,340.333984375,7942.376238877568
9,1.5719158219999987,744.9984445791188,725.69140625,632.3819986979166,2939.5537267833383
10,0.5444124336666695,666.8852148131926,473.4622395833333,403.1681857638889,5146.384946216091
11,0.17641340999999974,625.5645600796943,341.8958333333333,307.4986979166667,4448.1204424860725
12,0.318809086666666,612.7914843508162,249.64713541666666,231.92220052083334,9571.471266655351
13,0.3689911119999986,682.4984299602911,378.5885416666667,337.1110026041667,2086.912937808465
14,0.19933782266666591,478.25234225790336,301.7473958333333,287.43012152777777,13156.987052088522
15,0.40286284400000244,553.6291510906133,259.1236979166667,248.51959635416665,12094.14527499563
16,0.08884030666666358,560.3175077807717,256.73828125,256.73828125,3790.77595684153
17,0.6246559893333341,636.1028747197112,317.8763020833333,286.58984375,6478.9147522775775
18,2.0617171246666666,749.2451363267136,1203.4830729166667,921.7260044642858,1522.054465080484
19,0.36729121666666725,578.3077499500696,479.2604166666667,312.4915364583333,9152.810642834827
20,0.3133249849999989,582.8739879232403,340.1979166666667,315.5430772569444,9327.271611084672
21,1.4289597419999989,716.6957731484791,485.7578125,430.2962177579365,4610.027113865247
22,0.11303110866666562,422.7694925036676,309.90234375,293.0970052083333,3751.0388494600134
