Query,Latency (s),CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s)
1,0.09137837299961878,762.5956618795457,3356.2682291666665,3356.2682291666665,90.35546805088414
2,0.06851778266688295,248.4551270887944,3230.1184895833335,3230.1184895833335,92.8804066036847
3,0.10519571566662005,450.15381567714275,3221.31640625,3196.46875,66.58944328903566
4,0.060747353333378364,593.1792316877786,3170.0247395833335,3170.0247395833335,98.86320528129659
5,0.1253040476667593,601.2787522008972,3242.8255208333335,3208.1354166666665,58.59521496633721
6,0.014149218333235089,707.3199453517395,3171.7278645833335,3171.7278645833335,424.39196721104764
7,0.11636141833332658,693.3621643332523,3270.9973958333335,3220.8684895833335,60.478293764037524
8,0.07314129199979409,533.3294465579506,3169.6236979166665,3169.6236979166665,82.08192476493743
9,0.5547905843335078,740.2577519486546,3808.2513020833335,3659.766710069445,20.42531581736031
10,0.3860236423333845,391.17658707685683,3454.3046875,3362.7955729166665,24.18822304821319
11,0.07003381966660527,309.44678660082053,3183.484375,3183.484375,90.60460610199787
12,0.06612845566663357,690.7691647203295,3183.7981770833335,3183.7981770833335,100.80055380348146
13,0.24082079099995704,701.9063319175444,3265.2213541666665,3226.272569444445,34.602031142123245
14,0.04944493333368882,492.4377140974346,3187.5078125,3187.5078125,128.1102141836929
15,0.05010660933354908,678.5486416658317,3187.2669270833335,3187.2669270833335,132.9473976194606
16,0.057484222000008835,487.21563720524983,3186.8763020833335,3186.8763020833335,104.3856293263077
17,0.050815837000300235,649.4705603610637,3185.79296875,3185.79296875,118.07505623941402
18,1.6856631783336222,326.6806667222445,3703.8841145833335,3582.9067095588234,13.248370347051106
19,0.13143637933323285,664.5168782928935,3230.7838541666665,3212.0130208333335,55.83724543050493
20,0.042194430333438504,632.4709096868452,3193.0052083333335,3193.0052083333335,165.96547357088852
21,0.3005076933328989,645.6907721273318,3431.5182291666665,3333.5247395833335,29.935649464553148
22,0.03606835466659201,324.48550905796367,3202.6354166666665,3202.6354166666665,175.3829718698853
